Kudos Date,Kudos Type,Parent ID
"May 28, 2020, 11:51:14 PM",Activity,3527877217
"May 28, 2020, 11:51:16 PM",Activity,3527985360
"May 29, 2020, 12:34:54 PM",Activity,3528347988
"May 29, 2020, 3:47:15 PM",Activity,3530235119
"May 29, 2020, 3:47:28 PM",Activity,3530744433
"May 29, 2020, 6:33:56 PM",Activity,3531330306
"May 29, 2020, 6:33:59 PM",Activity,3531129817
"May 30, 2020, 11:50:15 AM",Activity,3533088463
"May 30, 2020, 3:26:27 PM",Activity,3536175781
"May 30, 2020, 4:40:19 PM",Activity,3536763653
"May 30, 2020, 4:40:52 PM",Activity,3535646280
"May 30, 2020, 5:41:52 PM",Activity,3536552380
"May 30, 2020, 5:44:59 PM",Activity,3537070742
"May 31, 2020, 12:53:05 AM",Activity,3538582168
"May 31, 2020, 12:53:12 AM",Activity,3538310731
"May 31, 2020, 12:53:14 AM",Activity,3538528677
"May 31, 2020, 5:22:12 PM",Activity,3543011944
"May 31, 2020, 7:09:36 PM",Activity,3543261548
"May 31, 2020, 7:10:03 PM",Activity,3538845192
"Jun 1, 2020, 12:42:04 AM",Activity,3544634317
"Jun 1, 2020, 12:43:37 AM",Activity,3544215735
"Jun 1, 2020, 12:43:45 AM",Activity,3544425516
"Jun 1, 2020, 4:33:23 PM",Activity,3547688594
"Jun 2, 2020, 12:15:04 AM",Activity,3550094713
"Jun 2, 2020, 12:15:14 AM",Activity,3549816794
"Jun 2, 2020, 2:30:03 PM",Activity,3552508768
"Jun 2, 2020, 4:50:13 PM",Activity,3552582957
"Jun 2, 2020, 5:55:03 PM",Activity,3553296717
"Jun 2, 2020, 5:57:08 PM",Activity,3552653650
"Jun 3, 2020, 1:56:40 AM",Activity,3555466730
"Jun 3, 2020, 1:57:48 AM",Activity,3554949090
"Jun 3, 2020, 12:03:51 PM",Activity,3555460545
"Jun 3, 2020, 3:38:18 PM",Activity,3557808293
"Jun 3, 2020, 3:38:33 PM",Activity,3557846853
"Jun 3, 2020, 3:38:53 PM",Activity,3557669222
